vowelSAMPA,F1_Hz,F2_Hz,F3_Hz,target
a,779.3333333,1591.333333,3073,0
y,406,1944.666667,2804.666667,0
3,629.6666667,1948,3067.333333,0
o,392.6666667,839.3333333,3222,0
u,315.3333333,1432.333333,3080.333333,0
9,511.6666667,1744.333333,2929,0
2,413,1691.666667,2621.333333,0
9,624,1648.333333,2936.666667,0
e,413.6666667,2493.666667,3128.333333,0
O~,302.3333333,1049.666667,2254.666667,1
i,324.6666667,2328.666667,3503.666667,0
E~,697.6666667,2061.333333,2917.333333,1
3,559.3333333,2074.333333,3058.333333,0
3,473.3333333,2207.666667,3081.333333,0
o,415,715,3023.666667,0
y,337,2081,2681.333333,0
3,659,1937.333333,3295,0
9,580,1737,2760.333333,0
i,322,2251.333333,3525,0
O~,243,1419.333333,2347.666667,1
u,362,650.6666667,2228.666667,0
a~,309.6666667,842,2453.666667,1
i,284,2246.666667,3391.666667,0
y,320.6666667,1778.333333,2241.666667,0
a~,775.6666667,1415.333333,3734,1
2,373.6666667,1660,2291,0
a,679.6666667,1619,2854.666667,0
u,273.3333333,845.3333333,2364,0
2,390,1543.666667,2083,0
a~,669.3333333,1063.666667,3077.333333,1
u,312.3333333,1230,2748.666667,0
a~,721.3333333,1464,3364.333333,1
a,758.6666667,1670.666667,3057.666667,0
a,826.3333333,1673,3101.666667,0
e,418,2453.666667,3179.666667,0
2,345,1778,2846,0
2,387,2018,2820.333333,0
9,598.6666667,1498.666667,3030,0
E~,809,1372,3528.333333,1
O~,289.6666667,1259,2376.666667,1
3,612,1958.333333,3102,0
i,325,2298.333333,3542,0
O~,296,1184,2678,1
9,570.6666667,1655.666667,3064.666667,0
a~,593,1314.333333,3270.666667,1
o,401.6666667,880,2669.333333,0
a,770.6666667,1532.333333,2883.333333,0
2,374.6666667,1719.666667,2908.666667,0
3,573,1966.666667,3086,0
E~,884.3333333,1554,3653.333333,1
i,380,2036.666667,3488.333333,0
e,407,2476,3126,0
E~,406.6666667,1165.333333,2736.666667,1
e,406.6666667,2385.666667,3128,0
o,420.3333333,1016.666667,2903,0
e,427,2499.666667,3306.666667,0
E~,867.3333333,1705.333333,3702,1
e,392.6666667,2501.666667,3277.333333,0
o,376.6666667,865.6666667,2248.333333,0
i,301,2211.333333,3319,0
u,397.6666667,458.6666667,2703.666667,0
y,370,1729.333333,3015.333333,0
y,362.3333333,1532.666667,2384.666667,0
E~,564.3333333,1228.666667,3079.333333,1
a~,495.6666667,891,2236,1
O~,249.3333333,1276,2308,1
u,374.3333333,1006,2732.333333,0
O~,354.3333333,1400.666667,2689,1
y,302.6666667,1944.333333,2407,0
o,398.3333333,782.3333333,2954.666667,0
a,726.3333333,1607.666667,3062,0
i,319.6666667,2125.666667,3371,0
i,417,2173.333333,3446.333333,0
u,327.3333333,953.6666667,2876.333333,0
E~,703.3333333,1618,3352.333333,1
y,419.3333333,1342.333333,2528.333333,0
O~,251.3333333,1246.666667,2263.666667,1
i,362,2144,3494,0
3,545.3333333,2106.333333,3121.666667,0
O~,318,1261.333333,2165.666667,1
a~,477.6666667,978.6666667,2696.333333,1
y,310,1874,2717.333333,0
a,664,1704,3070,0
e,427.6666667,2447,3183.666667,0
a~,339.3333333,872.3333333,2655,1
O~,319.3333333,1396,2589.666667,1
e,427,2486,3192.333333,0
o,418.6666667,688,2660.666667,0
e,405,2385.333333,3077.333333,0
3,669.6666667,1990,3008,0
2,410,1733.333333,2798,0
e,410.3333333,2417.666667,3191,0
3,519,2116,3044.666667,0
a~,726.6666667,1485.666667,3727.333333,1
u,392.3333333,801,2993.333333,0
O~,312,1187,1984.333333,1
y,347.6666667,2279,3283,0
o,339.6666667,1137,2497.666667,0
E~,816.3333333,1378.666667,3646,1
e,432.6666667,2622.333333,3183.666667,0
3,586.6666667,2082,3138.333333,0
E~,401,1066.666667,2446.333333,1
2,415,1807,3190,0
9,656,1388,2970.333333,0
u,335.3333333,1054,2967,0
